city,county,state,property_type,price,description
Burbank,Los Angeles County,CA,TOWNHOUSE,685000,"Cabrini Villas.Top of Hill.Private/Quiet/Grassy Front above Glenoaks Blvd/Woodbury University. Beautiful tri-level townhouse w/2 car garage, 1151SF. Designer sharp 2 bedroom 1.5 bathroom,private garage. With build in bonus room..kitchen w/recessed lights, quartz countertops, handcrafted. Real wood floors.updated bathrooms, central heat air & fireplace in living room. full bath & walk-in closet. Patio off living rm for BBQ, quiet reading or entertaining. Close to 4 ac parks,pools, and tennis courts.Wash/dryer set up in the garage.Spectrum basic cable & cold water incl. in rent.for more info call Zor (818)861-5555"
Sylmar,Los Angeles County,CA,SINGLE_FAMILY,688000,"SOLD BEFORE PROCESSING - Welcome home to this lovely 3 bedroom, 2 bathroom home located near the hills in Sylmar.  As you enter the home there is wood like flooring and a nice sized family room.  The family room has a wood burning fireplace and french doors that open to a large yard for entertaining your guests.  This home is located at the base of the mountains with beautiful views."
Los Angeles,Los Angeles County,CA,TOWNHOUSE,700000,"This tri-level end unit is one of Just 55 units nestled in this newer community of townhomes located in prime Baldwin Hills. A gated hideaway boasting winding walkways delights. Features include high ceilings, rooms flooded with natural light, and recessed lighting throughout. South-facing windows overlook View Park hiking trails. Gas fireplace in living area and a balcony large enough for a bistro table and chairs. Kitchen has a breakfast bar, pantry cupboard, and extra storage. Main level has a powder room for guests. Two en suite bedrooms upstairs both with vaulted ceilings, recessed lighting, and large bathrooms.  Walk in closet in the primary suite. Enjoy the convenience of an attached 2 car garage with direct access to your unit, private laundry. Close to the best hiking trails and several parks, including Kenneth Hahn . HOA Fee #2 is temporary. Call for details."
Reseda,Los Angeles County,CA,SINGLE_FAMILY,700000,"3 Bedroom 2 bath home in the desirable area of Reseda, This Corner lot great for big toys  separate side entrance from Saticoy, offers lots of parking front and Back   Large covered patio, fruit trees, Tile floors, newer roof and plumbing. possibilities are endless"
Panorama City,Los Angeles County,CA,SINGLE_FAMILY,690000,"Single family home first time back on the market since 1975. Great opportunity in this 3 bedroom, 1 bathroom, 1004-sqft home with attached 1 car garage, with original hardwood floors recently sanded and stained and electrical box upgraded within the last year.  Backyard has fruit trees, storage shed and a 126 sqft bonus room perfect for office space. Close to freeways, shopping, schools and more."
North Hollywood,Los Angeles County,CA,TOWNHOUSE,700000,"Discover this modern open floor plan, 2 bedroom/ 2.5 bath, two level condominium in the uniquely walkable cultural Noho Arts District, just minutes from the 170 Freeway and 101 Freeway. Built in 2008, this quiet, well-maintained building with only 39 total units, offers gated entry, gated subterranean parking with 2 assigned parking spots, guest parking, private storage space and fitness room/gym, next door to the unit.  Enter to an open living area with recess lighting, wood flooring, patio area, under stair closet and washer/dryer in guest bathroom. Kitchen features plenty of cabinet space, quartz countertops, backsplash, and appliances. Walk-up the stairs to the master bedroom with walk-in closet, balcony, and bathroom with separate double floating vanity sinks. The adjacent bedroom includes a large closet with mirror closet doors and its own on-suite full bathroom with trendy floating vanity. Great location near restaurants, vibrant night life, shopping, theatres, art/dance/fitness related activities and Metro Red (subway) Line that connects North Hollywood to Downtown Los Angeles.  This is a must see!"
Panorama City,Los Angeles County,CA,SINGLE_FAMILY,705000,"Looking for a move in ready single story home with a pool to entertain your family and friends? Well, look no further. This corner lot home is in one of the quietest neighborhoods in Panorama City. As you walk through the front door, you will be welcomed by a spacious living room. The kitchen offers plenty of cabinet space and granite countertops! A great view of the pool from the kitchen with lots of natural lights throughout the house. All three bedrooms are spacious as well.  As you walk out to the backyard, you will be welcomed by a good size yard with an amazing pool. This good size yard offers plenty of room to entertain your guests. There is room to expand the house to connect the detached garage and add more square footage without losing the good size backyard. The AC unit, the roof, and pool pump have all been replaced within the last 5 years. This house is close to The Plant Shopping Center, Kaiser Permanente, schools, and a lot of great restaurants. Don’t wait, come make this house yours today!"
Los Angeles,Los Angeles County,CA,CONDO,700000,"Location, Location, Location!  Directly across the street from the Beverly Center & Cedars Sinai.  Fantastic condo in the heart of the city! The unit which is light and bright features gorgeous hardwood floors, an updated kitchen, designer finished bathrooms, a spacious balcony, central AC & heat as well as 2 tandem parking spaces. The building features secure access and massive outdoor patio including Pool, Spa, BBQ, lounge areas and paddle ball court. Close to all the best that West Hollywood & Beverly Grove have to offer."
Los Angeles,Los Angeles County,CA,CONDO,685000,"Pristine and rarely available top floor residence nestled in a classic Spanish courtyard building. Secure entryway leads to a lush tropical landscape and swimmer's pool surrounded by period tile and architectural details. This charming unit with fantastic scale and natural light features original hardwood floors, elegant crown moldings and plantation shutters. The spacious kitchen combines both vintage tile and the modern convenience of stainless steel appliances. The hallway features several ample storage closets leading to the primary bedroom and charming vintage tiled bath with separate tub, shower and large vanity. Additionally, the unit includes secure parking and additional storage. Located in a prime location just a stone's throw from the world-famous Sunset Strip and some of LA's finest restaurants, shopping and entertainment venues. A very special offering not to be missed."
Pacoima,Los Angeles County,CA,SINGLE_FAMILY,689500,IN ESCROW
